,GSM461176_untreated_single,GSM461177_untreated_paired,GSM461178_untreated_paired,GSM461179_treated_single,GSM461180_treated_paired,GSM461181_treated_paired,GSM461182_untreated_single
FBgn0010406,1907,1048,1278,2024,1310,1686,1184
FBgn0027554,2196,1424,1452,1825,1333,1743,1123
FBgn0035829,1012,568,676,1181,755,1036,732
FBgn0035830,2674,1541,1587,2280,1599,2133,1115
FBgn0035831,431,198,266,395,246,288,285
FBgn0011817,1368,644,597,1603,747,1049,451
FBgn0052370,0,0,1,0,0,0,1
FBgn0026263,285,133,156,298,166,197,138
FBgn0267527,0,0,0,0,1,0,1
FBgn0267528,1,2,0,2,1,0,0
FBgn0052358,0,0,0,0,0,0,0
FBgn0052359,0,0,0,0,0,0,0
FBgn0052360,0,0,0,0,0,0,0
FBgn0262579,13656,8913,8135,8102,5650,6788,6625
FBgn0052361,0,0,0,0,0,0,0
FBgn0052362,0,0,0,0,0,0,0
FBgn0052363,0,0,0,0,0,0,0
FBgn0260967,3,6,0,1,2,0,1
FBgn0260968,3,1,0,2,0,0,1
FBgn0264705,38,16,8,37,1,7,18
FBgn0035833,1093,832,775,1259,832,1027,742
FBgn0028379,22,18,8,19,8,16,4
FBgn0027549,2233,1516,1668,1805,1487,1788,1547
FBgn0262442,0,0,0,0,0,2,0
FBgn0262716,5596,3777,4133,5939,4707,5854,3394
FBgn0026252,16013,10942,11373,14031,11462,13648,10628
FBgn0035838,300,172,158,285,202,203,168
FBgn0035839,108,60,79,90,80,102,61
FBgn0042112,433,219,277,359,332,387,254
FBgn0029113,4549,2829,3091,4298,3368,4194,2691
FBgn0010350,1349,809,887,1357,783,857,898
FBgn0035842,913,570,437,974,549,534,533
FBgn0002899,710,467,544,777,590,548,526
FBgn0035844,87,51,40,74,45,55,54
FBgn0259916,209,83,152,237,112,97,135
FBgn0264478,7,2,2,23,3,0,9
FBgn0035845,2,0,4,4,0,0,0
FBgn0040290,1657,1067,1052,1026,829,884,986
FBgn0020392,1405,841,965,1270,1102,1278,905
FBgn0035847,2,2,2,3,2,2,5
FBgn0035848,657,433,485,577,381,450,444
FBgn0035849,365,170,191,328,199,215,189
FBgn0267529,0,0,0,0,0,0,0
FBgn0267530,2,0,1,4,1,0,2
FBgn0035850,2398,2002,2072,1811,1603,2097,1685
FBgn0035851,627,435,435,706,499,616,449
FBgn0035852,23,5,12,24,25,17,16
FBgn0035853,1668,753,895,1649,848,1369,811
FBgn0035854,331,259,274,319,251,281,208
FBgn0035855,45,13,25,28,16,17,21
FBgn0035856,8,14,4,7,8,12,3
FBgn0052364,802,439,557,932,547,634,558
FBgn0035857,10,2,6,7,11,8,3
FBgn0040832,0,0,0,0,0,0,0
FBgn0035858,2,1,0,1,0,0,0
FBgn0035859,0,0,0,0,0,3,0
FBgn0265089,1,0,2,1,1,2,2
FBgn0264604,2,0,2,0,0,0,0
FBgn0035861,5,4,3,8,0,2,1
FBgn0263219,15,6,5,12,11,8,7
FBgn0027569,3638,2796,2747,3268,2416,2893,2376
FBgn0035865,2,0,2,3,2,0,2
FBgn0015793,510,215,266,361,175,264,229
FBgn0035866,542,305,369,518,298,390,332
FBgn0035867,1696,1084,1074,1692,1182,1405,1179
FBgn0035868,197,90,110,240,101,120,120
FBgn0087039,765,337,318,739,358,391,344
FBgn0035870,7,3,1,5,6,5,4
FBgn0035871,3361,1908,2493,3369,2049,2809,2351
FBgn0266958,12,2,12,17,6,4,10
FBgn0035872,5899,4917,4339,5162,4566,5117,3614
FBgn0262361,1,0,0,1,0,0,0
FBgn0035873,8,6,4,4,5,8,1
FBgn0250833,6,0,1,13,2,0,0
FBgn0085491,2,0,0,1,0,1,0
FBgn0035875,1,0,0,0,2,0,0
FBgn0035876,313,144,184,236,153,199,222
FBgn0011762,356,245,280,376,210,282,308
FBgn0035877,702,448,538,498,348,483,344
FBgn0035878,2699,2043,2218,2237,2086,2569,1915
FBgn0035879,3188,2249,2048,2082,1639,2024,1913
FBgn0035880,244,166,177,231,158,222,115
FBgn0263553,0,0,0,0,0,0,0
FBgn0001248,4550,3413,3850,4711,4608,5599,3474
FBgn0001253,25,4,8,59,4,2,2
FBgn0035886,0,2,0,2,1,0,0
FBgn0035887,2,2,0,0,0,0,0
FBgn0035888,279,284,224,263,238,285,212
FBgn0035889,0,0,0,0,0,0,0
FBgn0053057,0,0,0,1,0,0,0
FBgn0035890,393,233,288,440,293,382,295
FBgn0265102,171,151,126,291,260,233,171
FBgn0266667,721,453,410,726,435,523,468
FBgn0010431,2,2,2,4,0,7,5
FBgn0052354,38,31,19,35,37,35,29
FBgn0020224,2024,1197,1191,1872,1276,1650,1166
FBgn0263352,14300,6992,6714,14572,6574,8156,5744
FBgn0035896,628,358,445,809,461,508,510
FBgn0010825,4166,3329,2241,3973,3254,3645,1775
FBgn0262719,58,60,41,52,39,40,22
FBgn0035900,391,271,277,401,266,388,248
FBgn0035901,511,276,292,516,361,435,267
FBgn0035903,258,158,161,146,97,117,164
FBgn0035902,99,62,70,110,86,80,70
FBgn0035904,3492,1946,2704,3045,2356,3088,2782
FBgn0086348,13,11,7,14,14,11,10
FBgn0035906,1964,1029,1252,1522,1026,1311,1018
FBgn0035907,210,90,112,189,109,176,93
FBgn0024236,7586,4965,5524,6438,5081,6161,5531
FBgn0035909,7690,4553,4963,6908,4920,6000,4777
FBgn0260442,7412,6455,5303,6664,5866,6320,4733
FBgn0264511,10,3,2,9,1,1,2
FBgn0262387,0,0,0,0,0,0,0
FBgn0035911,740,432,604,615,477,566,450
FBgn0262508,120,81,61,131,81,82,84
FBgn0017430,376,184,235,338,194,314,241
FBgn0017579,40363,31749,39477,34954,32191,44324,29589
FBgn0060292,4,1,2,11,1,0,1
FBgn0060291,2,0,0,2,1,0,1
FBgn0017429,783,520,588,759,627,662,488
FBgn0035914,10,6,8,3,4,7,6
FBgn0035915,2,4,1,6,5,4,0
FBgn0052351,10,4,5,5,8,4,0
FBgn0035916,679,314,339,639,316,428,326
FBgn0035917,3,4,2,5,3,4,2
FBgn0035918,674,537,467,681,502,699,430
FBgn0052029,2,0,1,2,1,1,3
FBgn0035921,12,2,5,7,10,0,0
FBgn0035922,8,10,10,17,12,6,1
FBgn0000121,31,13,7,29,11,10,10
FBgn0001168,6945,3881,3469,5710,3525,4662,2013
FBgn0265719,50,32,41,41,20,41,14
FBgn0011509,1638,775,925,1457,877,1073,906
FBgn0052022,475,223,339,571,368,474,325
FBgn0035923,1160,784,716,1021,680,742,626
FBgn0264696,0,0,0,0,0,0,0
FBgn0000357,7,5,6,6,4,6,3
FBgn0000355,2,0,0,1,0,0,1
FBgn0000358,2,0,0,0,1,0,0
FBgn0000356,0,0,0,0,1,0,0
FBgn0003149,22,19,7,24,25,25,13
FBgn0040828,0,0,0,0,0,0,0
FBgn0265720,1,0,0,0,0,0,0
FBgn0266084,974,691,599,648,509,599,396
FBgn0035924,1,0,1,1,0,0,0
FBgn0035926,3,0,0,1,1,0,2
FBgn0035928,2,2,0,1,0,0,0
FBgn0035929,1,0,0,1,0,0,0
FBgn0085455,3,0,0,0,2,2,1
FBgn0052023,0,0,0,0,1,0,0
FBgn0085456,1,2,1,1,1,0,2
FBgn0035931,2,0,4,3,5,5,0
FBgn0052024,15,16,12,45,17,27,6
FBgn0035932,41,10,31,85,71,65,20
FBgn0035933,14,6,12,25,22,34,5
FBgn0263930,5524,3828,3263,6258,4007,4963,3933
FBgn0052026,271,161,67,254,107,127,65
FBgn0267473,78,25,17,87,23,32,35
FBgn0262788,7,4,0,15,8,5,6
FBgn0267531,0,0,0,0,0,0,0
FBgn0020633,578,285,343,630,450,569,330
FBgn0035934,8,2,0,2,5,6,0
FBgn0052034,0,0,0,0,0,0,0
FBgn0266757,14,0,2,12,3,2,2
FBgn0035936,58,36,33,51,41,54,35
FBgn0264701,1,0,1,2,2,1,1
FBgn0264305,1453,1083,957,2115,1416,1789,835
FBgn0264307,477,312,305,464,257,309,256
FBgn0040321,3346,2383,2504,3163,2168,3027,2137
FBgn0011787,1572,851,970,1298,1049,1292,895
FBgn0035941,12,10,19,22,9,31,16
FBgn0035942,299,201,192,279,212,222,205
FBgn0035943,4,2,0,1,0,0,0
FBgn0035944,1869,924,1064,1550,1046,1324,1077
FBgn0035945,1356,995,984,1272,1020,1121,842
FBgn0086706,12336,8642,10102,10071,8351,10454,8487
FBgn0035947,2035,1297,1479,1834,1486,2004,1278
FBgn0035948,14,7,20,27,13,10,12
FBgn0035949,10,2,1,8,7,3,6
FBgn0263199,1018,761,829,1171,948,1210,753
FBgn0035951,1155,712,845,1140,886,1055,768
FBgn0035952,12,6,5,9,5,2,3
FBgn0016070,1553,947,887,1262,863,1028,976
FBgn0035953,1379,878,877,1280,908,1051,887
FBgn0035954,1,2,2,1,7,0,1
FBgn0035955,2,0,0,1,0,0,0
FBgn0035956,1,0,1,3,0,3,0
FBgn0028789,2,0,0,1,0,0,0
FBgn0035957,22,10,10,46,20,44,3
FBgn0000116,691,590,505,1234,1590,1731,488
FBgn0035959,2752,1337,1144,2311,1103,1189,1478
FBgn0035960,71,30,66,78,52,93,65
FBgn0023479,9627,6012,5469,2844,2089,2242,4218
FBgn0043806,2598,1630,1860,2977,2130,2931,1925
FBgn0040827,740,390,365,183,79,132,368
FBgn0011206,879,415,334,477,220,259,361
FBgn0035964,558,425,378,612,443,541,445
FBgn0035965,165,69,79,160,91,121,93
FBgn0263456,15,6,6,18,13,12,3
FBgn0263556,0,0,0,0,0,0,0
FBgn0004244,12,4,7,16,3,2,2
FBgn0035968,368,237,290,806,492,721,230
FBgn0035969,7,4,14,37,27,42,5
FBgn0266957,0,0,0,0,0,0,0
FBgn0035970,3,0,0,2,1,0,0
FBgn0035971,0,0,0,0,0,2,0
FBgn0264000,6,0,2,8,5,0,0
FBgn0035975,258,109,158,315,198,236,154
FBgn0035976,589,354,424,642,461,487,387
FBgn0035977,359,214,194,327,186,211,205
FBgn0035978,1420,947,1009,1671,1092,1363,954
FBgn0052040,30,14,20,16,12,20,16
FBgn0052039,244,120,144,308,105,164,152
FBgn0085484,508,359,324,462,383,400,315
FBgn0085485,0,0,2,1,0,2,0
FBgn0004379,1322,821,888,1323,972,1149,814
FBgn0035980,114,49,68,94,44,62,69
FBgn0035981,937,540,645,822,631,768,550
FBgn0011769,332,146,163,305,235,232,111
FBgn0001229,14,2,3,7,12,6,1
FBgn0001228,0,0,0,0,0,0,0
FBgn0001223,0,0,0,0,0,0,0
FBgn0035982,5,3,0,4,3,2,1
FBgn0001225,419,310,378,1037,800,1199,286
FBgn0001227,2,0,2,3,0,3,2
FBgn0263492,58,35,30,65,19,50,18
FBgn0001224,620,376,529,1624,1148,1698,374
FBgn0001226,1187,744,999,3531,2551,3464,566
FBgn0263494,0,0,0,0,0,0,0
FBgn0263493,0,0,0,0,0,0,0
FBgn0035983,507,317,351,441,302,376,277
FBgn0015218,6817,3175,3389,5159,3067,4096,3358
FBgn0035985,25,22,19,29,32,20,14
FBgn0035986,1775,1043,920,2089,1162,1474,1014
FBgn0035987,1873,1015,1187,1546,1119,1292,1003
FBgn0035989,809,419,418,629,397,460,389
FBgn0035988,30,29,15,20,26,19,20
FBgn0023129,718,523,575,508,401,457,424
FBgn0015296,2448,1652,1742,2231,1936,2557,1545
FBgn0005533,33083,22038,29492,24500,23618,31332,20511
FBgn0082953,12,7,5,13,3,7,14
FBgn0040305,1264,789,724,866,641,867,645
FBgn0260431,58,22,32,90,59,62,37
FBgn0260859,200,55,85,120,58,91,40
FBgn0267532,0,0,0,0,0,0,0
FBgn0035993,838,523,508,731,572,810,515
FBgn0053926,1320,955,1050,1494,1437,1681,323
FBgn0035995,1098,756,610,888,827,1151,531
FBgn0035996,185,110,97,209,126,110,93
FBgn0266124,612,265,315,506,319,427,354
FBgn0035997,1629,1245,1052,1230,1017,1169,900
FBgn0035999,249,133,130,221,114,149,110
FBgn0267533,3,1,0,0,0,1,2
FBgn0035998,15,13,15,28,19,33,21
FBgn0036000,606,315,332,496,361,426,316
FBgn0266101,332,202,189,288,227,300,135
FBgn0011327,1000,606,702,965,625,834,540
FBgn0036004,4608,2931,2509,3355,2444,2678,2113
FBgn0036005,348,219,236,315,219,308,237
FBgn0052036,48,25,28,58,38,34,43
FBgn0052037,325,183,159,237,173,250,191
FBgn0036007,2057,1321,1256,3362,2236,2288,998
FBgn0036008,303,170,153,300,116,168,199
FBgn0010408,16061,11080,16246,16743,13963,15687,13604
FBgn0267534,16,1,3,11,11,3,2
FBgn0086075,0,0,0,0,0,0,0
FBgn0053703,0,0,0,1,0,0,0
FBgn0053702,0,0,0,0,0,0,0
FBgn0053701,0,0,0,0,0,0,0
FBgn0053700,0,0,1,2,0,0,0
FBgn0036009,1,0,1,0,0,2,2
FBgn0036010,1,0,0,1,1,2,1
FBgn0261555,170,90,79,243,172,187,113
FBgn0036013,3,0,0,1,2,0,0
FBgn0036014,2,2,5,3,1,0,1
FBgn0036015,1,0,0,1,0,0,1
FBgn0036016,1,0,0,4,2,2,1
FBgn0036017,41,14,28,42,20,34,23
FBgn0267348,25166,19374,18332,22672,20062,23377,15935
FBgn0036018,870,516,487,767,414,522,527
FBgn0036019,39,16,10,76,14,6,33
FBgn0036020,634,362,351,537,363,479,295
FBgn0016081,9367,7692,6526,7790,6594,7474,6634
FBgn0036022,2,6,10,7,2,4,4
FBgn0036023,0,3,0,1,4,2,1
FBgn0036024,5,6,2,2,4,1,5
FBgn0053696,10,11,14,8,8,9,5
FBgn0036028,230,157,179,249,194,232,167
FBgn0087040,6,4,4,8,0,0,3
FBgn0036030,870,471,551,776,517,572,513
FBgn0036029,11,8,2,10,3,10,4
FBgn0267454,3,5,2,5,2,0,0
FBgn0266596,0,0,0,1,1,0,0
FBgn0015321,1097,775,767,1107,861,1134,746
FBgn0036031,8,4,2,11,5,6,2
FBgn0036032,2088,1169,1027,1387,978,1270,742
FBgn0040475,3406,2787,2996,2908,2692,3175,2525
FBgn0045823,22948,13818,12378,20944,15507,20243,17193
FBgn0065081,0,0,0,0,0,0,0
FBgn0036035,885,438,493,736,460,580,485
FBgn0036036,160,66,102,163,105,120,82
FBgn0261530,971,567,590,919,636,705,623
FBgn0036038,790,693,671,774,771,823,626
FBgn0036039,588,379,367,510,378,470,374
FBgn0019644,2909,2544,3172,3268,3198,3968,2726
FBgn0036040,5,3,11,9,2,4,2
FBgn0263541,0,0,0,0,0,0,0
FBgn0259163,206,141,135,195,148,150,104
FBgn0265448,0,0,0,1,0,0,0
FBgn0266956,5,0,0,4,2,4,4
FBgn0036043,5036,3090,2796,4345,2858,3386,3065
FBgn0036044,7,1,1,4,0,2,0
FBgn0044051,0,0,0,0,0,2,0
FBgn0044328,3,0,1,4,2,0,0
FBgn0036046,1,0,0,0,0,0,0
FBgn0044050,0,0,0,1,0,0,1
FBgn0044049,2,2,2,0,0,0,0
FBgn0264489,21,1,8,20,11,7,3
FBgn0044048,0,0,0,0,0,0,1
FBgn0028429,1354,701,670,1193,649,857,733
FBgn0015618,234,124,160,188,148,188,131
FBgn0004390,4687,3335,2794,5098,3853,5001,2959
FBgn0036052,567,365,327,488,387,504,291
FBgn0036053,4865,3462,3431,4055,2856,3471,3896
FBgn0027567,5162,3855,3622,4480,3941,4985,3360
FBgn0266955,0,0,0,4,4,0,0
FBgn0085411,12,8,11,16,10,10,11
FBgn0011836,1181,863,800,1100,876,944,716
FBgn0025866,1488,1134,902,1293,916,1018,797
FBgn0267535,0,0,0,0,0,0,0
FBgn0036057,0,0,0,0,0,0,0
FBgn0036056,0,0,0,0,0,0,0
FBgn0036058,2888,1858,1858,2697,1920,2400,1778
FBgn0036059,2088,1108,1136,1449,729,983,1043
FBgn0085385,6,1,2,12,4,1,0
FBgn0036062,53,42,32,93,34,65,39
FBgn0026404,1059,659,724,989,728,831,565
FBgn0036063,216,94,127,174,111,116,96
FBgn0259932,0,0,0,0,0,0,0
FBgn0263251,0,0,0,0,0,0,0
FBgn0040823,14,2,5,10,4,2,1
FBgn0267536,0,0,1,0,0,0,0
FBgn0267537,1,0,1,3,1,0,0
FBgn0266648,0,0,0,0,0,0,0
FBgn0267538,1,0,0,0,0,0,0
FBgn0036066,13,0,0,27,1,0,0
FBgn0052053,1,0,0,1,1,0,0
FBgn0052054,3,1,0,3,3,0,1
FBgn0262007,41,29,34,28,26,32,17
FBgn0262008,1,0,1,2,0,0,0
FBgn0267539,1,0,0,1,0,0,0
FBgn0052057,3,1,0,5,0,0,0
FBgn0086076,0,0,0,0,0,0,0
FBgn0036070,0,0,0,0,0,0,0
FBgn0036072,1,0,0,5,0,0,0
FBgn0000451,7,0,0,13,0,2,3
FBgn0265731,1,0,0,1,2,0,0
FBgn0036075,0,0,0,3,0,0,0
FBgn0052055,5,3,0,10,2,0,2
FBgn0052056,1726,1333,1407,2428,1855,2600,1611
FBgn0265735,0,0,0,0,0,0,0
FBgn0266952,1,0,0,0,0,0,0
FBgn0265734,0,0,0,0,0,0,0
FBgn0036078,1,0,0,1,0,0,0
FBgn0265732,2,0,0,0,0,0,0
FBgn0265733,1,0,0,0,0,0,0
FBgn0011569,2,0,0,3,0,0,1
FBgn0266777,0,0,0,0,0,0,0
FBgn0036080,0,0,0,0,0,0,0
FBgn0267665,35,8,0,45,1,1,10
FBgn0267666,4,2,0,7,2,2,1
FBgn0262381,0,0,0,0,0,0,0
FBgn0267668,132,44,39,137,53,39,28
FBgn0266076,0,0,0,0,0,0,0
FBgn0266780,53,23,2,47,7,15,14
FBgn0265736,2,1,0,3,1,0,0
FBgn0264722,3,2,0,2,0,8,5
FBgn0036082,30,18,14,40,21,20,13
FBgn0036083,67,31,10,50,12,7,8
FBgn0052058,37,25,15,26,5,12,12
FBgn0011802,650,294,338,724,369,420,384
FBgn0052061,2,0,0,2,0,0,1
FBgn0045770,35,34,7,33,23,32,5
FBgn0052062,1050,590,520,884,560,584,434
FBgn0052064,5,4,2,7,0,6,2
FBgn0036085,10,10,0,7,11,7,2
FBgn0260396,1,0,0,0,0,0,0
FBgn0262592,0,0,0,0,0,0,0
FBgn0085267,0,0,0,0,0,0,0
FBgn0036089,2,0,0,0,0,0,0
FBgn0260644,0,0,0,1,0,0,0
FBgn0260643,0,0,0,0,0,0,0
FBgn0001179,1739,1126,1155,1843,1360,1637,1046
FBgn0054001,88,39,47,70,59,48,60
FBgn0000629,2021,1582,1542,1800,1458,1836,1545
FBgn0036090,505,208,255,389,240,340,263
FBgn0036091,8,4,6,9,4,6,5
FBgn0052066,5101,3340,3125,4657,3032,3907,3259
FBgn0036093,14,10,4,8,10,12,10
FBgn0036094,21,16,10,21,4,10,8
FBgn0036096,1788,1142,1267,1782,1449,1837,1156
FBgn0052068,1586,727,879,1129,634,793,757
FBgn0010762,6069,4334,3256,4940,3516,4688,2406
FBgn0036099,1986,1045,1071,1768,935,1413,955
FBgn0053493,24,10,15,14,13,24,9
FBgn0047038,1849,980,1248,1446,1118,1455,886
FBgn0036101,649,274,234,424,157,254,345
FBgn0262890,90,38,33,55,27,34,34
FBgn0265737,47,22,19,40,22,5,3
FBgn0265738,21,4,5,15,3,4,1
FBgn0265739,0,0,0,1,0,0,0
FBgn0036102,8,6,2,6,3,6,5
FBgn0265447,12,14,2,12,7,4,0
FBgn0262020,18,4,2,15,4,6,0
FBgn0266782,5,3,0,2,1,1,0
FBgn0266781,0,2,0,3,0,0,0
FBgn0266679,4,7,3,4,1,0,0
FBgn0026160,4461,2992,2504,2850,2058,2609,1207
FBgn0036104,1210,773,793,1117,868,1102,700
FBgn0036105,93,36,77,139,71,68,70
FBgn0036106,3,0,1,4,2,2,1
FBgn0036107,326,90,182,338,116,206,186
FBgn0027615,467,246,329,489,374,440,386
FBgn0036108,0,0,0,0,0,0,0
FBgn0036109,1,0,0,1,0,1,0
FBgn0266681,56,35,43,51,19,28,44
FBgn0036110,1,0,0,0,0,0,0
FBgn0036111,5492,3411,3220,5423,3230,3991,3393
FBgn0266783,0,0,0,1,0,0,0
FBgn0266784,0,0,0,1,0,0,0
FBgn0036112,0,0,0,1,0,0,0
FBgn0267309,0,0,0,0,0,0,0
FBgn0013469,20,9,11,24,14,33,4
FBgn0086077,1,0,0,1,0,0,0
FBgn0029172,0,0,0,1,0,0,0
FBgn0052079,2,0,0,12,0,0,0
FBgn0052081,0,0,0,2,0,0,0
FBgn0265740,0,0,0,0,0,0,0
FBgn0263776,4,2,4,6,4,5,2
FBgn0266594,0,0,0,0,0,0,0
FBgn0036116,57,51,34,44,37,29,51
FBgn0036117,317,176,185,395,191,202,268
FBgn0036118,191,65,95,172,87,108,89
FBgn0052069,202,80,138,204,140,200,123
FBgn0052075,482,258,199,452,228,318,278
FBgn0266540,0,0,0,0,0,0,0
FBgn0025355,0,0,0,0,0,0,0
FBgn0036121,3546,1557,2076,2937,1787,2472,1996
FBgn0263241,543,340,366,526,360,468,319
FBgn0010741,2023,1158,1399,2342,1500,1902,1314
FBgn0036124,1544,959,941,1231,796,1018,950
FBgn0020412,3529,2222,2104,3281,2165,2426,1536
FBgn0036125,5,2,2,10,9,6,0
FBgn0083068,24,14,17,31,11,30,21
FBgn0036126,351,137,166,394,163,182,155
FBgn0261112,744,440,489,740,548,827,470
FBgn0036128,2,3,2,5,2,2,1
FBgn0052072,5,3,0,3,1,2,1
FBgn0052071,1,4,4,2,0,4,1
FBgn0052073,0,0,0,1,0,0,0
FBgn0036131,2,0,0,0,0,1,0
FBgn0054012,2,2,0,1,0,0,0
FBgn0036133,1096,834,955,1025,930,1069,884
FBgn0003462,2709,1997,2345,2421,2266,2780,1990
FBgn0036134,2454,1562,1506,1942,1362,1900,1484
FBgn0036135,591,506,590,570,590,803,448
FBgn0036136,920,600,636,899,682,924,540
FBgn0260795,24,13,4,33,17,23,9
FBgn0014368,0,0,0,2,0,2,0
FBgn0052074,0,0,0,1,0,0,0
FBgn0036138,0,0,0,0,0,0,0
FBgn0052082,80,32,59,82,33,45,23
FBgn0036139,4,0,8,3,2,4,1
FBgn0264721,75,41,12,60,44,32,25
FBgn0052076,612,493,568,668,579,665,533
FBgn0036141,1960,1429,1525,2039,1771,2072,1501
FBgn0036142,103,78,74,110,70,86,86
FBgn0036143,15,6,2,14,6,0,11
FBgn0036144,4279,2598,2574,3807,2682,3427,2445
FBgn0036147,3481,2165,2365,2692,1927,2364,2350
FBgn0036145,74,22,37,51,12,18,48
FBgn0036146,43,44,38,42,36,42,48
FBgn0061469,1876,1220,1294,1805,1523,1674,1082
FBgn0064766,2401,1735,1800,2296,1878,2341,1818
FBgn0261553,2745,2014,1701,1989,1533,1870,1406
FBgn0267717,3,0,1,1,2,2,1
FBgn0266954,0,0,0,0,0,0,0
FBgn0036150,28,15,18,44,27,26,21
FBgn0265929,4,2,3,10,0,0,3
FBgn0265930,0,0,0,0,0,0,0
FBgn0265925,0,0,2,0,0,0,0
FBgn0265924,0,0,0,0,0,0,0
FBgn0265926,3,2,2,6,0,4,3
FBgn0265928,26,5,6,17,9,4,8
FBgn0265927,0,0,0,0,0,0,0
FBgn0041094,5601,2848,2454,4093,2029,2708,1908
FBgn0265931,54,27,18,25,12,6,9
FBgn0266953,13,3,4,2,0,0,7
FBgn0036152,510,415,301,420,297,319,142
FBgn0036153,47,52,25,55,29,35,49
FBgn0265468,84,42,33,78,16,31,23
FBgn0036154,126,43,47,96,25,54,21
FBgn0265932,3,2,3,2,0,0,1
FBgn0265933,0,0,0,0,0,0,0
FBgn0265934,15,8,6,13,7,4,2
FBgn0266785,7,2,0,3,0,0,0
FBgn0266786,7,4,8,6,6,1,5
FBgn0036155,178,131,112,85,58,99,28
FBgn0266396,39,20,8,21,2,14,5
FBgn0261813,1,1,0,14,1,1,0
FBgn0036156,0,0,0,2,0,0,0
FBgn0265469,0,0,0,0,0,1,1
FBgn0265470,4,0,0,2,0,0,0
FBgn0036157,10,2,5,11,8,2,1
FBgn0036158,0,0,1,1,0,0,1
FBgn0265741,0,0,0,3,0,0,0
FBgn0265742,79,63,107,138,102,66,99
FBgn0036159,695,378,410,749,416,520,424
FBgn0036160,2,2,7,6,0,3,1
FBgn0036161,5,4,2,3,0,0,0
FBgn0036162,11,14,4,16,8,10,6
FBgn0028667,2,0,0,1,2,2,5
FBgn0267716,0,0,0,0,0,0,0
FBgn0028668,0,0,0,0,0,0,0
FBgn0036165,1367,704,519,1338,508,614,527
FBgn0053500,0,0,0,0,0,0,0
FBgn0003378,2,0,0,2,2,2,1
FBgn0003377,1,1,0,1,1,0,1
FBgn0053272,0,0,0,0,0,0,0
FBgn0003373,4,4,4,0,0,1,1
FBgn0036168,2,2,4,2,0,4,1
FBgn0036170,0,0,0,0,0,0,0
FBgn0036169,0,0,0,0,0,0,0
FBgn0259481,6643,4981,4446,4855,4231,5674,3973
FBgn0263569,47,31,20,20,14,23,35
FBgn0036173,1099,463,499,1171,559,696,545
FBgn0053267,63,30,29,38,31,52,26
FBgn0053490,4,0,0,14,0,0,0
FBgn0053489,3,0,1,9,0,0,1
FBgn0053271,0,0,0,0,0,0,0
FBgn0053270,0,0,0,1,0,0,0
FBgn0263247,0,0,0,0,0,0,0
FBgn0263248,1,0,0,0,0,0,0
FBgn0053269,0,0,0,0,0,0,0
FBgn0052086,0,0,0,1,0,0,0
FBgn0003292,10,4,2,11,7,1,4
FBgn0036176,0,0,0,0,0,0,0
FBgn0036177,0,0,0,1,0,0,0
FBgn0267232,0,0,0,0,0,0,0
FBgn0266991,0,0,0,0,0,0,0
FBgn0267231,0,0,0,0,0,0,0
FBgn0266992,0,0,0,0,0,0,0
FBgn0036179,11,0,3,7,1,1,2
FBgn0036178,1,0,1,0,0,0,0
FBgn0036180,1500,1179,1089,1433,1141,1377,981
FBgn0262021,0,0,0,2,0,0,2
FBgn0036181,132,58,34,54,27,20,46
FBgn0086254,2510,1704,2004,2816,1639,2360,1875
FBgn0036183,0,0,0,1,1,0,1
FBgn0036184,321,274,302,391,290,376,292
FBgn0042138,1844,1449,1597,1698,1344,1667,1469
FBgn0263632,0,0,0,0,0,0,0
FBgn0052091,104,61,47,94,59,67,46
FBgn0266651,1,2,1,3,0,0,0
FBgn0036186,223,157,128,211,159,163,155
FBgn0036187,711,498,480,625,478,502,498
FBgn0036188,534,372,443,592,440,608,377
FBgn0052085,10,1,5,20,3,20,5
FBgn0262437,0,0,0,0,0,0,0
FBgn0267541,0,0,0,0,0,0,0
FBgn0267540,0,0,0,0,0,0,0
FBgn0267543,0,0,0,0,0,0,0
FBgn0267542,1,0,1,0,0,0,0
FBgn0267544,0,0,0,0,0,0,0
FBgn0015828,2144,1614,1657,1650,1641,2074,1536
FBgn0036191,933,581,554,743,523,612,568
FBgn0267545,1,0,0,0,0,0,0
FBgn0036192,82,31,25,76,26,39,37
FBgn0036193,76,32,46,94,29,38,44
FBgn0264479,0,0,0,10,0,0,4
FBgn0036194,1821,1312,1523,1338,1045,1461,1055
FBgn0036195,1,0,1,4,1,2,2
FBgn0036196,410,340,332,291,170,212,216
FBgn0261353,0,0,0,0,0,0,0
FBgn0261381,0,0,0,0,0,0,0
FBgn0036198,206,81,124,214,164,254,106
FBgn0040817,10,4,9,8,0,6,5
FBgn0036199,1022,738,702,753,585,759,692
FBgn0052088,121,77,57,210,94,98,169
FBgn0052087,1,0,1,1,0,0,0
FBgn0036202,5,4,2,11,9,3,1
FBgn0041231,0,2,1,0,0,0,0
FBgn0036203,0,0,2,0,0,0,0
FBgn0262396,0,0,0,0,0,0,0
FBgn0262291,0,0,0,0,0,0,0
FBgn0036204,0,0,0,3,0,0,0
FBgn0015278,3376,2441,2215,3210,2427,2843,2234
FBgn0036205,13,2,4,18,12,10,6
FBgn0036206,4,0,6,5,0,6,1
FBgn0036207,505,259,237,526,273,370,247
FBgn0004381,911,605,640,904,665,891,588
