Symbol	GSM6160812	GSM6160813	GSM6160814	GSM6160821	GSM6160822	GSM6160823
SLC10A4	195	195	193	171	257	235
ZAR1	206	221	196	164	176	203
FRYL	1280	1163	1063	1156	1208	1344
OCIAD1	5024	5066	5100	4506	4898	5218
OCIAD1-AS1	18	15	17	19	16	16
OCIAD2	1719	1666	1889	2537	2410	2327
CWH43	0	0	0	0	0	0
LOC101927209	3	7	2	2	1	4
DCUN1D4	1512	1398	1340	1127	1190	1166
LRRC66	38	18	26	20	22	33
SGCB	2651	2519	2382	2696	2768	2926
LINC02480	0	0	0	0	0	0
SPATA18	614	540	577	403	484	489
LOC107986279	0	0	0	0	0	0
LOC112268466	1	0	0	0	0	0
USP46	1019	892	857	1043	1020	1106
USP46-DT	93	64	47	73	49	77
DANCR	1731	1716	1862	1619	1541	1443
MIR4449	6	0	1	2	4	0
SNORA26	18	12	15	4	1	13
ERVMER34-1	46	54	45	29	36	28
LOC107986281	4	4	5	1	2	3
LINC01618	0	0	1	0	0	0
RASL11B	0	1	4	0	0	4
SCFD2	628	641	601	536	461	518
LOC101928658	2	2	2	2	4	2
LOC105377654	3	0	0	0	1	0
FIP1L1	1328	1161	1371	1276	1240	1248
LNX1	208	202	211	185	173	166
LNX1-AS1	0	0	0	0	0	0
COMMD5P1	0	0	0	0	0	0
LNX1-AS2	4	2	2	2	0	1
LOC100506444	0	0	0	0	0	0
RPL21P44	8	0	3	2	1	2
CHIC2	309	253	305	316	331	386
GSX2	0	0	0	0	0	0
PDGFRA	8	18	12	14	33	29
LINC02283	0	0	0	0	0	0
LINC02260	0	0	0	0	0	0
KIT	2	0	2	6	4	10
LOC105377657	0	0	0	0	0	0
LINC02358	0	0	0	0	0	0
KDR	0	0	0	2	8	1
SRD5A3	701	783	786	762	815	800
SRD5A3-AS1	4	3	6	2	3	8
LINC02928	14	10	6	2	7	7
TMEM165	2497	2549	2462	2801	3013	2844
CLOCK	1813	1623	1412	1412	1507	1419
PDCL2	0	0	0	0	0	0
NMU	22	19	37	29	27	25
LOC105377660	0	0	0	0	0	0
EXOC1L	0	0	0	0	0	0
LOC105377661	0	0	0	0	0	0
EXOC1	1576	1434	1460	1332	1473	1432
LOC105377663	5	2	6	9	5	11
CEP135	757	654	608	777	776	853
CRACD	287	208	270	299	328	282
LOC101928760	0	0	0	0	0	0
LOC105377664	0	0	0	0	0	0
AASDH	453	492	459	379	386	367
PPAT	1420	1409	1481	1254	1335	1337
LOC100506514	6	4	8	2	0	0
PAICS	11289	11006	11136	9864	10297	10015
SRP72	5522	5253	5188	5099	5009	5363
ARL9	1	0	3	0	2	2
LOC105377665	0	0	0	0	0	0
THEGL	0	6	0	4	2	2
HOPX	0	0	0	0	0	0
LOC105377666	0	0	0	0	0	0
CHAER1	0	0	0	0	0	0
LOC105377668	0	0	0	0	0	0
SPINK2	0	2	0	0	0	0
REST	1373	1279	1246	1555	1646	1656
NOA1	1253	1354	1325	1149	1083	1158
POLR2B	5471	5264	5324	4897	5114	5280
IGFBP7	1831	1960	1947	3612	3426	3242
IGFBP7-AS1	220	248	264	555	484	458
LOC107986283	0	0	0	0	0	0
LINC02380	0	0	0	0	0	0
LOC105377670	0	0	0	0	0	0
LINC02494	0	0	0	0	0	0
LOC107986228	0	0	0	0	0	0
LOC105377672	0	0	0	7	8	6
LOC105377246	0	0	0	0	0	0
LINC02429	0	0	0	2	0	0
LINC02619	0	0	0	0	0	0
LINC02496	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0
LINC02271	0	0	0	0	0	0
ADGRL3	31	35	30	83	87	123
ADGRL3-AS1	1	0	1	4	2	2
LOC101927145	0	0	0	0	0	0
LOC105377253	36	29	45	34	52	36
LOC105377254	0	0	1	2	2	0
TECRL	0	0	0	0	0	0
LOC107986284	0	0	0	0	0	0
LOC105377255	0	0	0	0	0	0
LINC02232	0	0	0	0	0	0
LINC02835	0	0	0	0	0	0
EPHA5	121	111	137	47	58	56
EPHA5-AS1	15	10	14	13	10	13
LOC105377258	0	0	0	0	0	0
LOC105377259	0	0	0	0	0	0
LOC105377260	0	0	0	0	2	0
LOC105377261	0	0	2	0	0	0
MIR1269A	0	0	0	0	0	0
LOC105377262	0	0	0	0	0	0
LOC101927237	0	1	0	0	0	0
CENPC	463	484	480	454	534	520
STAP1	1	1	0	0	0	0
UBA6	2088	1867	1972	2062	2075	2215
UBA6-DT	280	272	219	252	252	253
GNRHR	6	4	0	3	8	12
LOC102724780	10	0	1	1	1	1
TMPRSS11D	3	0	0	0	0	0
TMPRSS11A	0	0	0	0	0	0
TMPRSS11GP	0	0	0	0	0	0
TMPRSS11F	0	0	0	0	0	0
LOC550113	0	0	0	0	1	0
SYT14P1	0	0	0	0	1	0
FTLP10	0	0	0	0	0	0
TMPRSS11BNL	0	0	0	0	0	0
TMPRSS11B	0	0	0	0	0	0
YTHDC1	2865	2702	2876	2500	2498	2547
TMPRSS11E	0	0	0	2	0	0
UGT2B17	6	4	3	1	0	1
UGT2B15	80	76	103	43	30	35
UGT2B10	37	24	36	30	26	14
UGT2A3	32	34	53	27	30	22
LOC105377265	1	1	0	4	1	5
UGT2B7	81	70	53	84	77	77
LOC105377267	3	3	0	1	0	4
UGT2B11	19	24	12	10	19	17
UGT2B28	0	0	1	2	2	1
UGT2B4	0	0	4	0	0	2
UGT2A1	0	0	0	0	0	0
UGT2A2	0	0	0	0	0	0
SULT1B1	0	4	2	2	7	2
SULT1E1	0	2	0	0	0	0
CSN1S1	0	0	0	0	0	0
CSN2	0	0	0	0	0	0
LOC105377269	0	0	0	0	0	0
STATH	0	0	0	0	0	0
HTN3	0	0	0	0	0	0
HTN1	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0
PRR27	0	0	0	0	0	0
LOC105377270	0	0	0	0	0	0
ODAM	0	0	0	0	0	0
FDCSP	0	2	0	0	0	0
CSN3	0	0	0	0	0	0
CABS1	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0
OPRPN	0	0	0	0	0	0
MUC7	0	0	0	0	0	0
AMTN	0	2	0	8	6	7
AMBN	0	0	0	0	0	0
ENAM	10	0	9	6	1	6
JCHAIN	2	12	4	12	16	12
LOC101927297	0	0	0	0	0	0
UTP3	1504	1562	1522	1230	1411	1299
RUFY3	653	529	491	547	525	537
GRSF1	4295	4361	4296	3957	4265	4433
MOB1B	1032	973	903	1317	1398	1374
DCK	1775	1920	1681	1919	2199	2208
SLC4A4	867	732	726	751	762	685
LOC107986285	2	2	0	2	0	0
LOC105377271	1	0	4	0	0	0
GC	0	0	0	0	1	0
NPFFR2	2	0	0	0	0	0
ADAMTS3	4	2	4	0	0	0
LOC105377273	0	0	0	0	0	0
LOC107986286	0	0	0	0	0	0
COX18	864	788	853	751	777	728
LOC112268467	5	5	5	4	5	6
ANKRD17	4652	4182	4083	3922	4132	4269
ANKRD17-DT	2	11	3	8	3	9
ALB	65	78	62	76	68	65
AFP	19	26	13	34	33	45
AFM	0	1	0	0	0	0
LINC02499	0	0	0	0	0	0
LOC107986287	0	0	2	1	2	0
RASSF6	1062	1120	958	498	549	574
LOC105377272	2	0	0	0	0	0
CXCL8	533	586	563	1444	1474	1425
CXCL6	2	2	0	2	2	5
PF4V1	0	0	0	0	0	0
CXCL1	1916	2089	2088	1482	1285	1343
PF4	18	47	50	61	77	81
PPBP	29	28	31	46	27	20
CXCL5	27877	27151	25455	26801	26809	28460
CXCL3	324	346	325	224	203	203
LOC105377275	73	50	73	28	27	37
PPBPP2	2	4	0	0	2	2
CXCL2	586	617	655	184	140	133
LOC105377277	0	0	2	0	0	0
MTHFD2L	602	599	649	589	569	582
LOC105377276	34	40	46	31	25	32
EPGN	2	2	3	5	1	8
EREG	3350	3112	2936	2811	2864	3186
AREG	919	942	957	320	345	411
LOC107986229	3	2	6	5	0	4
BTC	279	280	238	181	163	191
LOC105377278	0	0	0	0	0	0
LOC105377282	0	0	0	0	2	0
LOC105377280	0	0	0	0	0	0
PARM1	704	642	735	327	276	410
PARM1-AS1	0	2	2	0	0	0
LOC107986289	0	0	0	2	0	2
LINC02562	46	54	43	31	14	17
LOC100506253	0	0	2	0	0	2
LINC02483	0	0	0	0	0	0
LOC107986230	0	0	0	0	0	0
RCHY1	410	461	480	433	350	419
THAP6	634	654	633	618	722	715
ODAPH	2	0	5	70	108	66
CDKL2	110	92	94	54	40	65
G3BP2	8323	7783	7425	7750	7913	8105
USO1	4956	4633	4718	4208	4320	4526
LOC105377284	0	0	0	0	0	0
PPEF2	2	1	6	0	0	0
LOC105377285	0	0	0	0	0	0
NAAA	1407	1302	1318	1050	1114	1075
SDAD1	917	1012	913	1020	981	1008
SDAD1-AS1	0	0	0	1	0	0
CXCL9	4	0	0	4	2	2
ART3	4	0	4	0	0	0
CXCL10	89	89	96	118	118	101
CXCL11	115	85	89	110	106	102
NUP54	1267	1210	1200	1221	1322	1348
SCARB2	6183	6059	5740	6134	6518	6869
FAM47E	22	23	19	24	17	26
LOC105377286	6	3	2	3	5	5
FAM47E-STBD1	217	210	230	339	412	392
STBD1	272	260	296	428	547	506
CCDC158	1	0	1	1	5	0
SHROOM3	1331	1319	1080	831	833	733
MIR4450	0	0	0	0	0	0
MIR548AH	0	0	0	0	0	0
LOC105377290	0	0	4	0	2	6
SHROOM3-AS1	0	2	2	0	0	0
SOWAHB	46	65	50	14	32	33
LOC107986291	0	12	1	5	9	16
LOC105377294	15	20	11	11	5	12
SEPTIN11	4188	3830	3792	4289	4300	4557
LOC105377291	10	27	5	17	14	9
LOC107986290	2	4	6	8	0	3
CCNI	6714	6899	6918	6388	6612	6599
LOC101928864	13	18	16	28	35	32
CCNG2	603	693	661	1204	1073	1149
LOC107986292	0	0	0	0	0	0
LOC105377295	0	0	0	0	0	0
CXCL13	0	0	0	0	4	0
LOC105377296	0	0	0	0	0	0
LOC105377297	24	8	12	75	54	54
CNOT6L	1226	1132	1078	1296	1424	1524
MRPL1	841	916	935	716	712	855
LOC102724916	45	47	55	34	42	56
FRAS1	1192	1056	1064	693	788	816
LOC107986293	2	5	3	2	4	2
SNORD161	0	0	0	0	0	0
ANXA3	2303	2415	2358	2091	2233	2205
LINC01094	33	21	20	33	34	51
LOC101928893	0	0	0	0	0	0
BMP2K	878	825	767	1083	1159	1191
LOC105377299	0	2	0	0	0	3
PAQR3	1208	1251	1101	1430	1485	1523
LINC01088	2	1	0	2	0	0
NAA11	0	2	0	0	0	0
LOC105377300	0	0	0	0	0	0
GK2	0	0	0	0	0	0
LINC00989	0	0	0	0	0	0
LOC107986294	0	0	0	0	0	0
LINC02469	0	0	0	0	0	0
LOC105377302	0	0	0	0	0	0
PCAT4	0	0	0	0	0	0
ANTXR2	372	373	353	476	421	437
PRDM8-AS1	0	0	0	5	3	2
PRDM8	53	62	48	63	105	46
FGF5	14	6	8	38	26	27
CFAP299	0	0	0	0	4	2
LOC105377305	0	0	0	0	0	0
BMP3	0	0	0	0	0	2
PRKG2	106	95	78	59	70	83
PRKG2-AS1	0	0	0	2	0	0
RASGEF1B	6	0	2	8	2	0
LOC105377306	0	0	0	0	0	0
LOC107986215	2	0	0	0	0	3
LOC105377308	2	3	7	6	2	0
VAMP9P	0	0	0	0	0	0
HNRNPD	7871	7759	8085	7511	7523	7600
HNRNPD-DT	9	17	6	15	5	22
HNRNPDL	9154	9350	9353	9101	9229	9375
ENOPH1	2254	2310	2232	2010	2055	2166
LOC105377310	6	7	8	4	8	6
TMEM150C	95	89	63	95	88	105
LINC00575	0	0	0	0	0	0
SCD5	845	946	933	709	665	724
MIR575	0	0	0	0	0	0
SEC31A	4601	4453	4243	4358	4458	4621
THAP9-AS1	717	693	647	526	556	541
SNORD143	12	8	13	3	8	9
SNORD144	7	2	2	2	2	2
THAP9	225	233	247	191	183	192
LIN54	1257	1077	1068	1093	1215	1251
COPS4	1429	1359	1511	1069	1093	1233
PLAC8	15	40	26	14	10	10
COQ2	1185	1153	1155	1088	1110	995
HPSE	113	85	121	61	57	59
LOC105377313	0	0	0	0	0	0
HELQ	337	375	355	293	291	380
MRPS18C	674	697	682	573	638	663
ABRAXAS1	827	809	778	722	759	823
GPAT3	1004	1075	1082	930	1003	965
LOC105377315	0	0	0	0	0	0
LINC02994	16	6	9	3	10	12
NKX6-1	2	2	3	8	7	8
LOC102723338	0	0	0	2	0	0
CDS1	164	129	124	313	314	368
WDFY3	2099	1895	1767	1978	2092	2144
WDFY3-AS2	176	163	176	125	154	138
ARHGAP24	273	245	241	190	171	179
LOC105377319	7	8	2	2	4	9
MIR4451	1	0	2	0	8	2
MAPK10	36	50	42	54	57	37
MAPK10-AS1	0	0	0	1	0	0
MIR4452	0	0	0	0	0	0
PTPN13	1230	1026	994	911	935	1069
LOC107986189	6	0	0	2	0	4
SLC10A6	0	1	0	0	0	0
C4orf36	51	48	74	44	42	49
AFF1-AS1	70	74	93	99	87	117
AFF1	2579	2321	2262	3026	3225	3175
LOC105377320	0	2	0	0	0	0
KLHL8	833	864	858	741	723	792
MIR5705	0	0	0	0	0	0
HSD17B13	6	6	5	8	2	5
HSD17B11	3021	3040	3047	3465	3430	3749
NUDT9	1120	1121	1198	1082	1080	1138
SCPPPQ1	0	0	0	0	0	0
SPARCL1	8	4	2	5	1	1
DSPP	0	0	1	0	0	0
DMP1	0	2	0	2	4	0
LOC105377323	0	0	0	0	0	0
LOC105377324	0	0	0	0	0	0
IBSP	0	0	0	0	0	0
MEPE	0	0	0	0	1	0
SPP1	11584	11585	12101	16198	15152	16088
PKD2	2913	2859	2633	2351	2611	2679
ABCG2	1739	1609	1613	779	798	834
PPM1K	162	177	151	143	111	160
PPM1K-DT	3	2	0	3	0	0
LOC105377326	0	0	0	0	0	0
HERC6	909	780	786	733	751	814
LOC102723458	109	103	108	59	109	110
HERC5	1696	1633	1599	1491	1640	1593
PIGY	1081	1081	1028	936	1004	985
PYURF	1081	1081	1028	936	1004	985
PIGY-DT	6	6	0	6	5	5
HERC3	465	516	417	625	598	609
NAP1L5	201	239	195	151	146	164
FAM13A-AS1	112	93	73	57	60	73
FAM13A	834	881	809	594	639	638
LOC105377327	0	0	0	2	1	0
TIGD2	526	509	514	256	271	272
GPRIN3	2925	2663	2383	1990	2076	2098
LOC105377328	0	0	0	0	0	0
LOC105377329	5	2	1	8	6	8
SNCA	4	6	2	18	17	20
SNCA-AS1	0	0	0	0	0	0
MMRN1	0	0	0	0	0	0
LOC105377331	0	0	0	0	0	0
CCSER1	6	0	0	2	3	2
LOC112268468	0	0	1	0	0	0
LNCPRESS2	0	0	0	0	0	0
GRID2	4	4	4	12	7	8
LOC107986295	0	0	0	0	0	0
ATOH1	0	0	4	0	0	0
SMARCAD1-DT	0	0	0	0	0	0
SMARCAD1	2097	2101	2011	1966	2082	2116
HPGDS	0	0	0	2	0	0
PDLIM5	28909	27361	26421	25774	25780	26379
BMPR1B-DT	38	27	38	35	31	27
BMPR1B	1636	1604	1601	1863	2059	1872
UNC5C	43	27	30	34	34	32
UNC5C-AS1	0	0	1	0	0	0
LOC105377337	0	0	0	0	0	0
PDHA2	0	0	0	0	0	0
LINC02267	0	0	0	0	0	0
STPG2	8	0	1	0	1	0
STPG2-AS1	0	0	0	0	1	0
LOC105377340	0	0	0	0	0	0
RAP1GDS1	1393	1227	1270	1244	1216	1254
TSPAN5	354	393	346	685	758	752
LOC112267901	0	0	0	0	0	2
TSPAN5-DT	0	0	2	1	4	5
LOC105377343	0	0	0	0	0	0
EIF4E	2331	2291	2230	2265	2332	2439
METAP1	3199	3374	3160	3259	3452	3398
MIR3684	0	0	0	0	0	0
ADH5	4442	4289	4427	4167	4090	4254
LOC100507053	26	14	8	10	5	11
ADH4	20	20	24	10	4	5
PCNAP1	0	0	0	0	0	0
ADH6	412	435	411	71	89	69
ADH1A	0	1	2	0	0	0
ADH1B	4	0	2	0	0	0
ADH1C	0	6	2	0	0	0
LOC102723576	0	0	2	0	0	4
ADH7	2	0	0	0	0	2
C4orf17	0	0	0	0	0	0
TRMT10A	436	358	427	369	374	392
MTTP	3	4	1	4	2	2
C4orf54	2	4	0	0	0	0
DAPP1	4	0	0	0	2	0
LAMTOR3	947	960	992	764	842	856
DNAJB14	1818	1659	1588	1718	1750	1756
H2AZ1	9507	9862	9786	8662	9463	9292
H2AZ1-DT	2	1	3	0	2	5
LOC107986232	0	0	0	0	0	0
DDIT4L	764	647	787	361	403	362
DDIT4L-AS1	1	2	1	0	0	0
SNORA101A	0	0	0	0	0	0
EMCN	0	0	0	0	0	2
LOC105377345	0	0	0	0	0	0
LINC01216	0	0	0	0	0	0
LINC01218	0	0	0	0	0	0
PPP3CA	3835	3641	3633	4664	4790	4675
MIR8066	0	0	0	0	0	0
MIR1255A	0	0	0	0	0	0
FLJ20021	274	237	261	325	258	229
LOC107986297	2	1	0	0	0	0
BANK1	275	220	262	232	255	199
SLC39A8	3079	2996	3047	2763	2966	2874
LOC105377621	67	61	54	79	46	74
NFKB1	1310	1335	1239	1956	2086	1931
LOC105377347	15	22	15	21	16	20
MANBA	803	811	846	640	697	684
LOC102723704	715	714	727	618	641	677
UBE2D3	7674	7523	7468	7003	7127	7152
UBE2D3-AS1	23	27	41	29	24	8
CISD2	2318	2360	2339	2083	2160	2059
SLC9B1	322	332	300	279	255	252
SLC9B2	381	398	326	446	396	481
BDH2	576	563	622	557	572	643
CENPE	2740	2436	2327	2267	2576	2699
LINC02428	0	0	0	0	1	0
TACR3	0	0	0	0	0	2
LINC02503	0	0	0	0	0	0
LOC105377350	0	0	0	0	0	0
CXXC4	303	262	253	324	348	334
CXXC4-AS1	5	9	3	12	11	6
LOC105377351	0	0	0	0	0	0
TET2	628	503	491	532	588	570
TET2-AS1	0	0	0	0	0	0
PPA2	2059	2175	2033	1662	1716	1824
LOC105377352	3	0	8	0	0	0
ARHGEF38	46	27	42	17	14	7
ARHGEF38-IT1	0	0	0	0	0	0
INTS12	603	704	714	560	547	595
GSTCD	902	985	898	786	792	803
LOC107986190	0	0	0	1	0	0
GSTCD-AS1	1	0	1	2	1	0
NPNT	43	40	38	31	37	48
LOC101929577	7	0	6	2	2	0
TBCK	941	934	829	590	615	682
AIMP1	2925	2675	2627	2391	2537	2518
GIMD1	0	0	0	0	0	0
LINC02173	0	0	0	0	0	0
LOC105377356	0	0	0	0	0	0
DKK2	0	0	0	4	2	1
LOC102725220	0	0	0	0	0	0
LOC105377358	2	2	0	4	0	1
LOC105377357	0	0	0	1	0	0
PAPSS1	1830	1880	1830	1707	1731	1825
SGMS2	1163	1149	1157	1196	1206	1262
CYP2U1-AS1	10	7	4	12	9	11
LOC107986298	61	57	71	48	57	61
CYP2U1	471	399	410	378	408	323
LOC107986299	0	2	0	2	0	0
HADH	1696	1770	1765	1618	1662	1556
LEF1	0	0	0	0	0	2
LEF1-AS1	0	0	0	0	0	0
LOC107986300	0	0	0	0	0	0
RPL34-DT	2	0	0	0	0	2
LOC101929621	0	0	0	0	0	0
RPL34	5360	5532	5334	4536	4558	4989
OSTC	2025	1927	2034	1952	1949	2101
LOC105377359	7	4	8	4	8	14
LOC107986234	0	0	0	0	0	0
ETNPPL	2	0	8	6	6	8
COL25A1	0	0	0	0	0	0
COL25A1-DT	0	0	0	0	0	0
SEC24B-AS1	47	55	40	53	61	45
SEC24B	2194	1980	1963	2378	2649	2552
MIR576	0	0	0	0	0	0
MCUB	957	1026	986	1261	1137	1185
LOC107986302	12	11	11	5	9	8
CASP6	670	693	678	714	667	612
PLA2G12A	1217	1174	1165	908	1010	967
CFI	164	154	130	258	315	244
GAR1	614	677	699	711	717	682
RRH	5	3	4	2	0	0
LRIT3	1	3	6	0	2	0
EGF	65	98	92	60	54	76
ELOVL6	2741	2782	2650	2067	2154	2291
LOC107986303	115	88	82	81	94	72
LOC105377362	0	0	0	0	0	0
ENPEP	36	34	34	36	43	40
PANCR	3	1	2	2	1	2
LOC105377363	35	21	40	17	16	15
PITX2	130	116	134	146	129	114
MIR297	0	0	0	0	0	0
LOC105377364	0	0	0	0	0	0
LOC105377365	0	0	0	0	0	0
LOC105377366	0	0	2	0	0	0
LOC105377367	0	0	0	0	0	0
LOC105377369	0	0	0	0	0	0
LOC105377370	0	0	0	0	0	0
FAM241A	589	545	544	572	550	597
AP1AR	1192	1146	1092	1147	1127	1246
TIFA	339	318	367	239	236	268
ALPK1	665	568	561	341	343	394
LOC107986304	5	8	0	4	3	2
NEUROG2	0	4	0	0	0	1
NEUROG2-AS1	0	0	2	0	0	2
ZGRF1	357	358	358	218	268	276
LARP7	2037	2079	2153	1873	1882	1883
MIR302CHG	337	319	374	314	308	291
MIR367	1	0	0	0	0	0
MIR302D	1	0	0	0	0	0
MIR302A	0	0	0	0	0	0
MIR302C	0	0	0	0	0	2
MIR302B	0	0	0	1	0	1
ANK2	171	206	188	173	168	226
LOC102723896	0	0	2	0	0	0
ANK2-AS1	0	0	0	0	0	0
MIR1243	0	0	0	0	0	0
MIR8082	0	0	0	0	0	0
LOC105377374	0	2	2	0	4	0
CAMK2D	3783	3538	3446	1902	2211	2348
LOC105377375	0	0	0	0	2	3
ARSJ	956	942	942	1021	925	904
LOC107986305	15	8	5	4	6	14
LOC105377376	0	0	0	0	0	0
LOC107986235	0	0	0	0	0	0
LOC105377378	0	0	0	0	0	0
LOC105377379	0	0	0	0	0	0
LOC105377380	0	0	0	0	0	0
UGT8	4	4	8	7	4	2
MIR577	0	0	0	0	0	0
LOC105377382	0	0	0	0	0	0
NDST4	0	0	0	0	0	0
LOC105377383	0	0	0	0	0	0
MIR1973	0	0	0	0	0	0
LOC105377384	0	0	0	0	0	0
LOC105377385	0	0	0	0	0	0
LOC107986306	0	0	0	0	0	0
LOC105377387	0	0	0	0	0	0
LOC105377388	0	0	0	0	0	0
TRAM1L1	104	91	86	83	51	52
LINC02262	0	0	0	0	0	0
LINC02263	0	0	0	0	0	0
LINC01378	0	0	0	0	0	0
LOC102723914	0	0	0	0	0	0
LINC02264	0	0	0	0	0	0
NDST3	0	1	2	6	0	3
LOC107986307	0	0	0	1	0	1
LOC105377392	7	8	6	14	4	8
SNHG8	781	765	789	737	693	749
SNORA24	10	25	9	11	14	15
PRSS12	63	69	59	56	85	99
LOC105379403	0	0	0	0	1	0
CEP170P1	73	76	76	171	205	216
LOC729218	279	292	212	252	264	278
METTL14-DT	0	0	0	5	0	0
METTL14	1056	973	948	833	908	976
SEC24D	1189	1038	1091	1141	1361	1302
SYNPO2	756	673	713	985	1011	1096
LOC105377393	0	0	0	0	0	0
LOC105377394	0	0	0	0	0	0
LOC102723967	0	0	0	1	0	0
LOC105377395	0	0	0	0	0	0
MYOZ2	0	0	0	2	2	3
LOC105379404	2	0	0	2	0	0
LOC101929762	0	3	3	3	1	1
USP53	1703	1484	1482	2461	2805	2773
C4orf3	1209	1104	1115	988	1065	1166
FABP2	0	0	0	0	0	0
LOC107986193	0	0	0	0	0	0
LINC01061	179	206	200	135	136	130
LOC107983979	26	24	24	14	13	17
GTF2IP12	33	26	26	25	20	26
SEPTIN7P14	134	105	112	84	77	100
PDE5A	127	93	109	55	61	63
LOC105377396	0	0	0	0	0	0
LOC105377397	0	0	0	0	0	0
LINC01365	0	0	0	0	0	0
LINC02502	0	0	0	0	0	0
MAD2L1	2468	2411	2393	2161	2128	2291
PRDM5	192	195	198	180	200	189
LOC105377399	1	5	0	4	13	2
NDNF	5	4	2	0	2	2
NDNF-AS1	0	0	0	0	0	0
TNIP3	38	24	28	29	16	26
QRFPR	0	0	0	0	4	9
LOC107986309	0	0	0	0	0	0
LOC107986310	0	0	0	0	0	0
LOC105377401	0	0	0	0	0	0
LOC105377402	0	9	0	0	2	2
ANXA5	13569	13478	14171	14083	14590	15775
SMIM43	5	2	12	6	7	11
PP12613	3	0	3	1	3	1
EXOSC9	1732	1708	1656	1628	1726	1802
CCNA2	3987	3993	3893	3621	4191	4220
BBS7	672	626	605	608	605	621
TRPC3	0	1	4	2	6	0
LOC102724158	0	0	0	0	0	0
LOC112268469	21	20	18	29	24	33
BLTP1	1926	1404	1347	1484	1568	1599
ADAD1	0	0	0	0	0	0
IL2	0	0	0	0	0	0
IL21	0	0	0	0	0	0
IL21-AS1	0	0	0	0	0	0
BBS12	223	228	170	313	345	394
CETN4P	3	7	8	5	5	6
FGF2	4754	4370	4163	12741	13434	13861
NUDT6	680	629	609	1533	1555	1672
SPATA5	506	433	487	484	515	540
LOC105377404	4	3	0	0	2	2
SPRY1	280	271	306	35	61	38
TRC-GCA2-1	2	3	1	3	6	2
LINC02435	0	3	0	0	0	0
LOC105377405	4	1	0	6	1	2
LINC01091	44	28	43	25	28	32
LOC105377407	0	0	0	0	0	0
LOC105377406	0	0	0	0	0	0
LOC105377408	0	0	0	2	3	0
LINC02516	0	0	0	3	0	2
ANKRD50	1821	1803	1608	3426	3617	3735
FAT4	268	244	208	229	250	288
MIR2054	0	0	0	0	0	0
LINC02379	0	0	0	0	0	0
LOC105377409	0	0	0	0	0	0
LOC105377410	0	0	0	0	0	0
LOC105377411	0	0	0	0	0	0
LOC102724210	0	0	0	1	0	1
LOC107986312	0	0	1	0	0	0
LOC105377412	2	2	0	0	2	0
LOC105377413	2	4	3	0	0	4
INTU	222	222	206	200	218	197
SLC25A31	0	0	0	0	0	2
LOC105377414	0	0	0	0	0	0
HSPA4L	1969	1661	1762	1176	1265	1441
PLK4	994	968	1027	956	943	1168
MFSD8	784	738	723	600	649	686
ABHD18	519	499	478	373	351	416
LARP1B	728	782	702	948	951	1094
PGRMC2	5755	5689	5572	9092	9769	9860
LINC02615	73	88	93	120	89	112
LOC101927259	1	2	4	4	4	8
JADE1	2577	2410	2418	3059	3084	3184
SCLT1	756	704	726	743	769	766
C4orf33	496	475	509	359	413	422
LOC105377416	0	0	0	0	0	0
LOC105377417	0	0	0	0	0	0
LINC02466	0	4	0	0	0	0
LINC02465	0	0	0	2	1	2
LOC105377418	0	0	0	0	0	0
LINC02479	0	0	0	0	0	0
LOC105377422	0	0	0	0	0	0
LOC105377423	0	0	0	0	0	0
LINC02377	0	1	0	0	0	0
SNHG27	0	0	0	0	0	0
LOC105377425	0	0	0	0	0	0
LOC105377428	0	0	0	0	0	0
LOC107986236	0	0	0	0	0	0
LINC01256	0	0	0	0	0	0
LOC105377431	0	0	0	0	0	0
LOC105377432	0	0	0	0	0	0
PCDH10-DT	0	0	2	7	12	6
PCDH10	36	42	29	1100	1189	1024
PABPC4L	95	92	58	1138	1154	1084
LINC02462	1	2	0	0	3	1
LOC105377436	0	0	0	0	0	0
LOC105377438	0	0	0	0	0	0
LOC105377437	0	0	0	0	0	0
LINC02485	0	0	0	0	0	0
LINC00613	0	0	0	0	0	0
LINC02511	0	0	0	0	2	1
LINC02510	0	0	0	0	0	0
LOC105377442	0	0	0	0	0	0
PCDH18	6	2	2	6	4	3
LINC02172	0	0	0	0	0	0
LOC101927414	0	0	0	0	0	0
LOC107986314	0	0	0	0	0	0
LOC105377444	0	0	0	0	0	0
LOC105377445	0	0	0	0	0	0
LOC107986315	0	1	1	0	0	0
LOC105377447	0	0	0	0	0	0
LINC00616	1	2	1	0	0	0
SLC7A11-AS1	615	490	386	559	604	709
SLC7A11	21299	18899	17028	23091	25437	26708
LINC00498	0	0	0	0	0	0
LINC00499	0	0	0	0	0	0
LOC105377448	0	0	0	0	0	2
NOCT	338	388	364	540	512	565
ELF2	817	739	668	661	780	706
LOC105379412	0	0	1	0	0	0
MGARP	9	12	12	11	13	14
NDUFC1	1372	1249	1226	1220	1025	1173
NAA15	4448	4290	4033	3689	4001	4076
LOC105377449	19	22	6	7	27	10
RAB33B-AS1	31	44	38	33	28	22
RAB33B	398	443	355	484	445	499
SETD7	8195	7661	7139	8795	9468	9784
